condition_id,channel,parameters_json,n_runs,z_errors,z_trials,z_estimate,z_lower,z_upper,x_errors,x_trials,x_estimate,x_lower,x_upper,aggregate_errors,aggregate_trials,aggregate_estimate,aggregate_lower,aggregate_upper,theory_z,theory_x,theory_aggregate,absolute_error_z,absolute_error_x,absolute_error_aggregate
bit-flip-0.16,bit_flip,"{""p"": 0.16, ""type"": ""bit_flip""}",1,5,27,0.18518518518518517,0.08180707142976532,0.36698683618548433,0,25,0.0,0.0,0.13319225093904843,5,52,0.09615384615384616,0.04177435105257249,0.20609630120131628,0.16,0.0,0.08,0.02518518518518517,0.0,0.016153846153846158
bit-flip-0.20,bit_flip,"{""p"": 0.2, ""type"": ""bit_flip""}",1,9,27,0.3333333333333333,0.18643261498715652,0.5217523949267993,0,29,0.0,0.0,0.11696979849974071,9,56,0.16071428571428573,0.0869266760759514,0.2780620666974952,0.2,0.0,0.1,0.1333333333333333,0.0,0.06071428571428572
phase-flip-0.02,phase_flip,"{""p"": 0.02, ""type"": ""phase_flip""}",1,0,25,0.0,0.0,0.13319225093904843,3,30,0.1,0.03459988874733419,0.25621082579184085,3,55,0.05454545454545454,0.018723215554684494,0.14853060544053787,0.0,0.02,0.01,0.0,0.08,0.04454545454545454
phase-flip-0.05,phase_flip,"{""p"": 0.05, ""type"": ""phase_flip""}",1,0,26,0.0,0.0,0.12872892185921525,1,31,0.03225806451612903,0.005717221525416816,0.16194105164724903,1,57,0.017543859649122806,0.003103664651408093,0.09290749178567684,0.0,0.05,0.025,0.0,0.01774193548387097,0.007456140350877195
phase-flip-0.10,phase_flip,"{""p"": 0.1, ""type"": ""phase_flip""}",1,0,26,0.0,0.0,0.12872892185921525,4,25,0.16,0.0640345145667644,0.3465362160717885,4,51,0.0784313725490196,0.03092219678848919,0.18499946312595883,0.0,0.1,0.05,0.0,0.06,0.028431372549019604
phase-flip-0.16,phase_flip,"{""p"": 0.16, ""type"": ""phase_flip""}",1,0,25,0.0,0.0,0.13319225093904843,4,24,0.16666666666666666,0.06678676328632951,0.3585307064969906,4,49,0.08163265306122448,0.03220281766776367,0.19189127596571287,0.0,0.16,0.08,0.0,0.006666666666666654,0.0016326530612244816
phase-flip-0.20,phase_flip,"{""p"": 0.2, ""type"": ""phase_flip""}",1,0,27,0.0,0.0,0.12455502974186704,1,24,0.041666666666666664,0.00739345616550581,0.20241806478655933,1,51,0.0196078431372549,0.0034696926410608397,0.10304568726144972,0.0,0.2,0.1,0.0,0.15833333333333335,0.0803921568627451
amplitude-damping-0.02,amplitude_damping,"{""gamma"": 0.02, ""type"": ""amplitude_damping""}",1,0,27,0.0,0.0,0.12455502974186704,0,23,0.0,0.0,0.14311661845042678,0,50,0.0,0.0,0.07134759913335868,0.01,0.00502525316941671,0.007512626584708355,0.01,0.00502525316941671,0.007512626584708355
amplitude-damping-0.05,amplitude_damping,"{""gamma"": 0.05, ""type"": ""amplitude_damping""}",1,0,24,0.0,0.0,0.13797620467498012,0,25,0.0,0.0,0.13319225093904843,0,49,0.0,0.0,0.07269781922049635,0.025,0.012660282759551833,0.018830141379775917,0.025,0.012660282759551833,0.018830141379775917
amplitude-damping-0.10,amplitude_damping,"{""gamma"": 0.1, ""type"": ""amplitude_damping""}",1,1,26,0.038461538461538464,0.006821984993543487,0.18892778903034751,0,24,0.0,0.0,0.13797620467498012,1,50,0.02,0.0035392592716462293,0.1049544358963781,0.05,0.025658350974743116,0.03782917548737156,0.011538461538461539,0.025658350974743116,0.01782917548737156
amplitude-damping-0.20,amplitude_damping,"{""gamma"": 0.2, ""type"": ""amplitude_damping""}",1,2,25,0.08,0.02222040128484759,0.2496610895039531,0,26,0.0,0.0,0.12872892185921525,2,51,0.0392156862745098,0.010821083352867099,0.13216305655362262,0.1,0.05278640450004207,0.07639320225002104,0.020000000000000004,0.05278640450004207,0.037177515975511236
amplitude-damping-0.30,amplitude_damping,"{""gamma"": 0.3, ""type"": ""amplitude_damping""}",1,6,26,0.23076923076923078,0.11033849405783294,0.42051554078943687,1,28,0.03571428571428571,0.0063325198490377516,0.17712197743353314,7,54,0.12962962962962962,0.0642372074732626,0.24421730222369764,0.15,0.08166998673296222,0.1158349933664811,0.08076923076923079,0.045955701018676506,0.013794636263148516
pauli-symmetric,pauli,"{""px"": 0.02, ""py"": 0.02, ""pz"": 0.02, ""type"": ""pauli""}",1,1,25,0.04,0.007096233501987251,0.19544063736193729,2,26,0.07692307692307693,0.021355088472276226,0.24141553771629054,3,51,0.058823529411764705,0.020206639422464673,0.1592462604880042,0.04,0.04,0.04,0.0,0.036923076923076927,0.018823529411764704
pauli-x-dominant,pauli,"{""px"": 0.08, ""py"": 0.01, ""pz"": 0.02, ""type"": ""pauli""}",1,2,23,0.08695652173913043,0.024180004484220377,0.2679598107574366,0,28,0.0,0.0,0.12064330476584559,2,51,0.0392156862745098,0.010821083352867099,0.13216305655362262,0.09,0.03,0.06,0.0030434782608695643,0.03,0.020784313725490194
pauli-z-dominant,pauli,"{""px"": 0.02, ""py"": 0.01, ""pz"": 0.08, ""type"": ""pauli""}",1,0,25,0.0,0.0,0.13319225093904843,5,28,0.17857142857142858,0.07878501945604274,0.3559142478934294,5,53,0.09433962264150944,0.040972641497250495,0.2025372737629627,0.03,0.09,0.06,0.03,0.08857142857142858,0.03433962264150944
